Abbreviation,ตัวย่อ
Academic Information,ข้อมูลการศึกษา
Academic Stress,ระดับความเครียดจากการเรียน
Access To Information And Services,การเข้าถึงข้อมูลและบริการ
Access To Information And Services Details,ด้านการรับรู้ถึงข้อมูลและบริการสำคัญของวิทยาลัย (รู้ว่ามีข้อมูลข่าวสารกับบริการอะไรบ้างที่ทางวิทยาลัยเตรียมไว้ให้)
Accommodation Condition,ความเหมาะสมของสภาพที่พักอาศัย
Accommodation Safety,ความปลอดภัยของที่พัก
Accommodation Section,ที่พักอาศัย
Adapt Academic,ความสามารถในการปรับตัวด้านการเรียน
Adapt Social,ความสามารถในการปรับตัวด้านสังคม
Adaptation Stress,ระดับความเครียดจากการปรับตัวกับสภาพแวดล้อมใหม่
Addiction,การติดสิ่งเสพติด/พฤติกรรมเสี่ยง
Addiction Details,ด้านสิ่งเสพติด/พฤติกรรมเสี่ยง (สัญญาณของพฤติกรรมเสี่ยงที่อาจส่งผลกระทบต่อสวัสดิภาพ)
Addiction Problems,ปัญหาด้านการติดสิ่งเสพติด/พฤติกรรมเสี่ยง
Additional Requirements,ความต้องการเพิ่มเติม
Additional Suggestions,ข้อเสนอแนะเพิ่มเติม
Address Section,ที่อยู่
Adequacy Personnel,ความเพียงพอของบุคลากร
Age,อายุ
Amenities Access,ความเหมาะสมของสถานอำนวยความสะดวกเช่น ร้านสะดวกซื้อ ธนาคาร
Attendees,ผู้เข้าร่วม
Availability Learning Media,ความพร้อมของสื่อการเรียนรู้และเทคโนโลยี
Batch,รุ่น
Business,ธุรกิจ
Business Information Section,ข้อมูลธุรกิจ
Business Major Interest,ความสนใจหลักในธุรกิจ
Campus Province,จังหวัดของวิทยาลัย
Check Data Confirmation,ข้าพเจ้าได้กรอกข้อมูลอย่างถูกต้องและครบถ้วนตามความสามารถอย่างดีที่สุด
College Activity,ระดับการมีส่วนร่วมในกิจกรรมของวิทยาลัย
College Support,การสนับสนุนจากวิทยาลัย
Comment Academic Skill,ความเห็นเพิ่มเติมในส่วนการพัฒนาทักษะทางวิชาการ 
Comment Monitoring Curriculum,ความเห็นเพิ่มเติมในส่วนการติดตามการพัฒนาและปรับปรุงหลักสูตร 
Comment Monitoring Graduates,ความเห็นเพิ่มเติมในส่วนการติดตามผลลัพธ์การเรียนรู้และคุณภาพบัณฑิต
Comment Monitoring Resources,ความเห็นเพิ่มเติมในส่วนการติดตามทรัพยากรและสิ่งสนับสนุน
Comment Monitoring Teaching,ความเห็นเพิ่มเติมในส่วนการติดตามกระบวนการเรียนการสอน
Comment Morality Ethics,ความเห็นเพิ่มเติมในส่วนการส่งเสริมคุณธรรม จริยธรรม และจรรยาบรรณวิชาชีพ
Comment Problems,ความเห็นเพิ่มเติมในด้านปัญหาและอุปสรรคอื่นๆที่อาจเกิดขึ้น
Comment Professional Skill,ความเห็นเพิ่มเติมในส่วนการพัฒนาทักษะวิชาชีพ
Commute Access,ความสะดวกในการเดินทางไปเรียนและทำกิจกรรม
Coping Skill,ความสามารถในการรับมือกับปัญหาและความผิดหวัง
Counseling Access,การเข้าถึงบริการให้คำปรึกษา
Counseling Access Details,ด้านการเข้าถึงบริการให้คำปรึกษา
Course Design,การออกแบบหลักสูตร
Creativity,ทักษะการคิดเชิงนวัตกรรมและการสร้างสรรค์
Curriculum,หลักสูตร
Curriculum Consistency,ความสอดคล้องของหลักสูตร
Curriculum Development Process,กระบวนการพัฒนาหลักสูตร
Curriculum Name,ชื่อหลักสูตร
Date,วันที่
Date Tracking,วันที่
Debt Level,ระดับปัญหาหนี้สินส่วนตัว
Depression Details,ด้านภาวะซึมเศร้า (สัญญาณของภาวะซึมเศร้า การแยกตัว การเปลี่ยนแปลงพฤติกรรม)
Description,รายละเอียด
District,อำเภอ
Education Information Section,ข้อมูลการศึกษา
Educational Institution,สถาบันการศึกษา
Email,อีเมล
Emotion Management,การจัดการอารมณ์
Emotion Management Details,ด้านการจัดการอารมณ์ (ความสามารถในการรับมือกับปัญหาและความผิดหวัง)
Employment,การได้งานทำและความพึงพอใจของนายจ้าง
Exercise Facility Access,ความเหมาะสมของแหล่งออกกำลังกาย
Expense Manage,ความสามารถในการบริหารจัดการค่าใช้จ่ายส่วนตัว
Family Problems,ปัญหาครอบครัว
Family Problems Details,ปัญหาด้านครอบครัว (ผลกระทบจากปัญหาทางบ้านต่อการเรียนและการใช้ชีวิต)
Family Support,การสนับสนุนจากครอบครัว
File,ไฟล์
Financial Management,การเงิน
Financial Management Details,"ด้านการเงิน (การบริหารจัดการค่าใช้จ่าย, ปัญหาหนี้สิน การเข้าถึงทุนสนับสนุนเพิ่มเติม)"
Folllowup Plan,แผนการติดตามครั้งถัดไป (ไม่ใช้)
Folllowup Plan Date,วันที่ในการติดตามครั้งถัดไป
Followup Topic,หัวข้อที่จะติดตามครั้งต่อไป
Food And Dining,อาหารการกิน
Food And Dining Details,ด้านอาหารและสุขอนามัย (การเข้าถึงอาหารที่เพียงพอและมีโภชนาการ ปัญหาเรื่องค่าใช้จ่ายอาหาร)
Food Availability,ความเพียงพอของร้านอาหาร
Food Cleanliness,ความสะอาดและสุขอนามัย
Food Price Appropriateness,ความเหมาะสมของราคา
Full Name,ชื่อ-นามสกุล
Full Name Manual,ชื่อ-นามสกุล (ใส่เอง)
Gender,เพศ
General Information,ข้อมูลทั่วไป
General Information Section,ข้อมูลทั่วไป
General Note,บันทึกทั่วไป
Graduate Skill,ทักษะและคุณลักษณะของบัณฑิต
Highlight,จุดเด่น
Honesty,ความซื่อสัตย์สุจริต
Important Note,ประเด็นข้อสังเกตุสำคัญ
Individual Tracking Record,บันทึกการติดตามรายบุคคล
Institute,สถาบัน
Instructor Development,การพัฒนาผู้สอน
Intercultural Communication,ทักษะการสื่อสารระหว่างวัฒนธรรม
Label,ความต้องการเพิ่มเติม
Last Name,นามสกุล
Leadership,ทักษะการเป็นผู้นำ
Learning Analytical Thinking,ทักษะการเรียนรู้และการคิดวิเคราะห์
Learning Design,การออกแบบการจัดการเรียนรู้ 
Learning Environment,สภาพแวดล้อมการเรียนรู้
Learning Evaluation,การวัดและประเมินผลการเรียนรู้
Learning Method,วิธีการจัดการเรียนรู้
Legal Issues,ปัญหาทางกฎหมาย/ความปลอดภัย
Legal Issues Details,"ด้านกฎหมาย/ความปลอดภัย (การถูกคุกคาม, การตกเป็นเหยื่ออาชญากรรม, การละเมิดกฎระเบียบ)"
Lifelong Learning,ทักษะการปรับตัวและการเรียนรู้ตลอดชีวิต
Location,สถานที่
Major,สาขาวิชา
Major1,หลักสูตร (หลัก)
Major2,หลักสูตรอื่นที่เกี่ยวข้อง (ถ้ามี)
Medical Facility Access,ความเหมาะสมของสถานพยาบาล
Mental Health Promo,การประชาสัมพันธ์ถึงการช่วยเหลือด้านสุขภาพจิต
Monthly Saving,ความสามารถในการออมต่อเดือน
Name,ชื่อ
New Environment Adaptation,การปรับตัวเข้ากับสภาพแวดล้อมใหม่
New Environment Adaptation Details,ด้านการปรับตัวเข้ากับสภาพแวดล้อมใหม่ (สำหรับนักศึกษาใหม่ การปรับตัวเข้ากับวัฒนธรรมในสถานศึกษา)
No Name In System,หาชื่อไม่เจอในระบบ
Objective,วัตถุประสงค์
Opening Year,ปีที่ประกาศใช้
Other Related Curriculum,หลักสูตรอื่นที่เกี่ยวข้อง (ถ้ามี)
Outcome,ผลลัพธ์
Output,ผลผลิต
Partnership Business,ธุรกิจพันธมิตร
Partnership Institution,สถาบันพันธมิตร
Person In Charge,ผู้รับผิดชอบ
Personal Health,สุขอนามัยส่วนบุคคล
Personal Health Details,ด้านสุขอนามัยส่วนบุคคล (การดูแลตนเอง การเข้าถึงสิ่งอำนวยความสะดวกที่จำเป็น)
Personal Health Status,ระดับปัญหาด้านสุขภาพของตนเอง
Personal Information,ข้อมูลส่วนตัว
Personal Stress,ระดับความเครียดจากปัญหาส่วนตัว
Physical Wellbeing,สุขภาพกาย
Physical Wellbeing Details,ด้านสุขภาพกาย (การเข้าถึงบริการด้านสุขภาพ ปัญหาสุขภาพที่อาจส่งผลต่อการเรียน การเจ็บป่วย)
Please confirm submission by checking the checkbox,กรุณายืนยันการส่งโดยการเลือกปุ่ม Checkbox
Postal Code,รหัสไปรษณีย์
Presentation Communication,ทักษะการนำเสนอและการสื่อสาร
Primary Curriculum,หลักสูตร (หลัก)
Problems Obstacles,ปัญหาและอุปสรรคที่พบ
Professional Ethics,จรรยาบรรณวิชาชีพ
Program Administrator,ผู้ดูแลหลักสูตร
Province,จังหวัด
Relationship Problems,ปัญหาความสัมพันธ์
Relationship Problems Details,ปัญหาด้านความสัมพันธ์ (ปัญหาความสัมพันธ์กับเพื่อน อาจารย์ หรือบุคคลอื่น)
Required Headcount,จำนวนที่ต้องการ
Risk,ด้านความเสี่ยง
Risk Details Text,รายละเอียดความเสี่ยง
Role,"ตำแหน่ง (บริหาร, รับผิดชอบ)"
School,สถานศึกษา
Sec Details,รายละเอียด
Section 1.1 Deprecated,ด้านที่ 1.1 Deprecated
Section 1.1 Recipient Well-Being,ด้านที่ 1.1 สวัสดิภาพความเป็นอยู่ของผู้รับทุน
Section 1.1 Recipient Well-Being (Advisor),ด้านที่ 1.1 สวัสดิภาพความเป็นอยู่ของผู้รับทุน (อาจารย์ที่ปรึกษา)
Section 1.1 Recipient Well-Being (Student),ด้านที่ 1.1 สวัสดิภาพความเป็นอยู่ของผู้รับทุน (นศ)
Section 1.1.1 - Label,หัวข้อ 1.1.1 - สภาพความเป็นอยู่ทั่วไป
Section 1.1.1 - Living Conditions,หัวข้อ 1.1.1 - สภาพความเป็นอยู่ทั่วไป
Section 1.1.2 - Label,หัวข้อ 1.1.2 สุขภาพจิตและอารมณ์
Section 1.1.2 - Mental And Emotional Health,หัวข้อ 1.1.2 สุขภาพจิตและอารมณ์
Section 1.1.3 - College Adaptation And Living,หัวข้อ 1.1.3 - การปรับตัวและการใช้ชีวิตในวิทยาลัย
Section 1.1.3 - Label,หัวข้อ 1.1.3 - การปรับตัวและการใช้ชีวิตในวิทยาลัย
Section 1.1.4 - Label,หัวข้อ 1.1.4 - ปัญหาและอุปสรรคที่อาจเกิดขึ้น
Section 1.1.4 - Other Problems And Obstacles,หัวข้อ 1.1.4 - ปัญหาและอุปสรรคอื่นๆที่อาจเกิดขึ้น
Section 1.1.4 - Problems And Obstacles That May Occur,หัวข้อ 1.1.4 - ปัญหาและอุปสรรคที่อาจเกิดขึ้น
Section 1.1.5 - Label,หัวข้อ 1.1.5 - การสนับสนุนที่ได้รับและที่ต้องการ
Section 1.1.5 - Other Suggestions,หัวข้อ 1.1.5 - ข้อเสนอแนะอื่นๆ
Section 1.1.5 - Support Received And Needed,หัวข้อ 1.1.5 - การสนับสนุนที่ได้รับและที่ต้องการ
Section 1.2 Academic and Professional Skill Development,ด้านที่ 1.2 การพัฒนานักศึกษาด้านวิชาการและวิชาชีพ
Section 1.2 Academic and Professional Skill Development (Curriculum Advisor),ด้านที่ 1.2 การพัฒนานักศึกษาด้านวิชาการและวิชาชีพ (อาจารย์ผู้รับผิดชอบหลักสูตร)
Section 1.2.1 - Tab Academic Skill Development,หัวข้อ 1.2.1 - การพัฒนาทักษะทางวิชาการ 
Section 1.2.2 - Tab Professional Skill Development,หัวข้อ 1.2.2 - การพัฒนาทักษะวิชาชีพ
Section 1.2.3 - Tab Morality Ethics,หัวข้อ 1.2.3 - การส่งเสริมคุณธรรม จริยธรรม และจรรยาบรรณวิชาชีพ
Section 1.2.4 - Tab Other Suggestions,หัวข้อ 1.2.4 - ข้อเสนอแนะอื่นๆ
Section 2.1 Curriculum and Instruction Development,ด้านที่ 2.1 การพัฒนาหลักสูตรและกระบวนการเรียนการสอน
Section 2.1 Curriculum and Instruction Development (Curriculum Advisor),ด้านที่ 2.1 การพัฒนาหลักสูตรและกระบวนการเรียนการสอน (อาจารย์ผู้รับผิดชอบหลักสูตร)
Section 2.1.1 - Tab Monitoring Curriculum,หัวข้อ 2.1.1 - การติดตามการพัฒนาและปรับปรุงหลักสูตร
Section 2.1.2 - Tab Monitoring Teaching,หัวข้อ 2.1.2 - การติดตามกระบวนการเรียนการสอน
Section 2.1.3 - Tab Monitoring Graduates,หัวข้อ 2.1.3 - การติดตามผลลัพธ์การเรียนรู้และคุณภาพบัณฑิต
Section 2.1.4 - Tab Monitoring Resources,หัวข้อ 2.1.4 - การติดตามทรัพยากรและสิ่งสนับสนุน
Section 2.1.5 - Tab Other Suggestions,หัวข้อ 2.1.5 - ข้อเสนอแนะอื่นๆ
Section Note,การบันทึก
Self Management,ทักษะการบริหารจัดการตนเอง
Service Access,ระดับการรับรู้ถึงข้อมูลและบริการสำคัญของวิทยาลัย
Social Relation,ความสัมพันธ์ทางสังคม
Social Relation Details,ด้านความสัมพันธ์ทางสังคม (การปรับตัวเข้ากับเพื่อน การมีส่วนร่วมในกิจกรรม การถูกกลั่นแกล้ง)
Social Responsibility,ความรับผิดชอบต่อสังคม
Stress Or Anxiety,ความเครียด/ความวิตกกังวล
Stress Or Anxiety Details,ด้านความเครียด/ความวิตกกังวล (ระดับความเครียดจากการเรียน การปรับตัว ปัญหาส่วนตัว)
Student Academic Achievement,ผลสัมฤทธิ์ทางการเรียนของนักศึกษา
Student Accommodation Details,ด้านที่พักอาศัยของนักศึกษา (ความเหมาะสมของที่พัก ความปลอดภัย สภาพแวดล้อม)
Student Comment College Adaptation,ความเห็นเพิ่มเติมในส่วนการปรับตัวและการใช้ชีวิตในวิทยาลัยของนักศึกษา
Student Comment Living Conditions,ความเห็นเพิ่มเติมเกี่ยวกับสภาพความเป็นอยู่ทั่วไปของนักศึกษา
Student Comment Mental,ความเห็นเพิ่มเติมในส่วนสุขภาพจิต อารมณ์ ของนักศึกษา
Student ID,รหัสนักศึกษา
Student New Environment Adaptation,การปรับตัวและการใช้ชีวิตในวิทยาลัยของนักศึกษา
Student Section 1.1.1 - Label,หัวข้อ 1.1.1 - สภาพความเป็นอยู่ทั่วไปของนักศึกษา และปัญหา (ถ้ามี)
Student Section 1.1.1 - Living Conditions,หัวข้อ 1.1.1 - สภาพความเป็นอยู่ทั่วไปของนักศึกษา
Student Section 1.1.2 - Label,หัวข้อ 1.1.2 - สุขภาพจิต อารมณ์ ของนักศึกษา และปัญหาที่เกี่ยวข้อง (ถ้ามี)
Student Section 1.1.2 - Mental And Emotional Health,หัวข้อ 1.1.2 - สุขภาพจิต อารมณ์ ของนักศึกษา
Student Section 1.1.3 - College Adaptation And Living,หัวข้อ 1.1.3 - การปรับตัวและการใช้ชีวิตในวิทยาลัยของนักศึกษา
Student Section 1.1.3 - Label,หัวข้อ 1.1.3 - การปรับตัวและการใช้ชีวิตในวิทยาลัยของนักศึกษา และปัญหาที่เกี่ยวข้อง (ถ้ามี)
Study Problems,ปัญหาด้านการเรียน
Study Problems Details,ปัญหาด้านการเรียน (ผลการเรียนตกต่ำ การขาดแรงจูงใจ การไม่เข้าใจเนื้อหา)
Subdistrict,ตำบล
Subject,หัวข้อ
Summary,บทสรุป
Support Additional Needs,สิ่งที่นักศึกษาต้องการความช่วยเหลือหรือการสนับสนุนเพิ่มเติม
Support College Access,การเข้าถึงบริการของวิทยาลัย (เช่น ศูนย์ให้คำปรึกษา หน่วยงานสวัสดิการ)
Support Family Level,ระดับการสนับสนุนจากครอบครัว (การเงิน กำลังใจ)
Support From Friends,การสนับสนุนจากเพื่อน
Support Peer Level,การมีกลุ่มเพื่อนที่คอยช่วยเหลือและให้กำลังใจ
Support Suggestions,สำหรับข้อเสนอแนะอื่นๆ
Supporting The Times,หนุนเสริมครั้งที่
Table Notes,การบันทึกตามหัวข้อ
Teamwork,ทักษะการทำงานร่วมกับผู้อื่น
Technology Learning,ทักษะการใช้เทคโนโลยีเพื่อการเรียนรู้
Tel,เบอร์โทรศัพท์
Time Manage,ความสามารถในการบริหารเวลาเรียน กิจกรรม และเวลาส่วนตัว
Time Management,การจัดการเวลา
Time Management Details,ด้านการจัดการเวลา (การจัดสรรเวลาเรียน กิจกรรม และเวลาส่วนตัว)
Title,คำนำหน้า
Topic,หัวข้อ
Transportation,การเดินทาง
Transportation Details,ด้านการเดินทาง (ความสะดวกในการเดินทางไปเรียนและทำกิจกรรม)
Uploaded At,วันที่อัปโหลด
Uploaded By,อัปโหลดโดย
User,ผู้เข้าร่วมจาก
เพศ,เพศ
